编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
10-C,该地区成为著名旅游地的优势在于	地质地貌景观独特，具有较高的游览价值,y,,,,,该 地区 成为 著名 旅游地 的 优势 在于 地质 地貌 景观 独特 ， 具有 较 高 的 游览 价值,该 地区 成为 著名 旅游地 的 优势 在于 地质 地貌 景观 独特 ， 具有 较 高 的 游览 价值,DT NN VV JJ NN DEG NN VV NN NN NN VA PU VV AD VA DEC NN NN,,实体信息陈述_0（该地区成为著名旅游地，优势，地质地貌景观独特）实体信息陈述_1（该地区成为著名旅游地，优势，具有较高的游览价值）,实体信息陈述_0（该地区成为著名旅游地，优势，地质地貌景观独特）实体信息陈述_1（该地区成为著名旅游地，优势，具有较高的游览价值）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 地质 地貌 景观 独特 ， 具有 较 高 的 游览 价值,该 地区 成为 著名 旅游 地 的 优势 在于 地质 地貌 景观 独特 ， 具有 较 高 的 游览 价值,DT NN VV JJ NN NN DEG NN VV NN NN NN VA PU VV AD VA DEC NN NN,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (IP (NP (NN 地质) (NN 地貌) (NN 景观)) (VP (VA 独特))) (PU ，) (VP (VV 具有) (NP (CP (IP (VP (ADVP (AD 较)) (VP (VA 高)))) (DEC 的)) (NP (NN 游览) (NN 价值)))))))) )
10-C-0,该地区成为著名旅游地的优势在于	地质地貌景观独特,ed-ori,,,8 9,,该 地区 成为 著名 旅游地 的 优势 在于 地质 地貌 景观 独特,该 地区 成为 著名 旅游地 的 优势 在于 地质 地貌 景观 独特,DT NN VV JJ NN DEG NN VV term term NN VA,,实体信息陈述_0（该地区成为著名旅游地，优势，地质地貌景观独特）,实体信息陈述_0（该地区成为著名旅游地，优势，地质地貌景观独特）,,,实体信息陈述,实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 地质 地貌 景观 独特,该 地区 成为 著名 旅游 地 的 优势 在于 地质 地貌 景观 独特,DT NN VV JJ NN NN DEG NN VV term term NN VA,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (NP (NN 地质)) (NP (NN 地貌) (NN 景观)) (VP (VA 独特)))))) )
10-C-1,该地区成为著名旅游地的优势在于	具有较高的游览价值,ed-ori,,,,,该 地区 成为 著名 旅游地 的 优势 在于 具有 较 高 的 游览 价值,该 地区 成为 著名 旅游地 的 优势 在于 具有 较 高 的 游览 价值,DT NN VV JJ NN DEG NN VV VV AD VA DEC NN NN,,实体信息陈述_0（该地区成为著名旅游地，优势，具有较高的游览价值）,实体信息陈述_0（该地区成为著名旅游地，优势，具有较高的游览价值）,,,实体信息陈述,实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 具有 较 高 的 游览 价值,该 地区 成为 著名 旅游 地 的 优势 在于 具有 较 高 的 游览 价值,DT NN VV JJ NN NN DEG NN VV VV AD VA DEC NN NN,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (VP (VV 具有) (NP (CP (IP (VP (ADVP (AD 较)) (VP (VA 高)))) (DEC 的)) (NP (NN 游览) (NN 价值)))))))) )
10-D,该地区成为著名旅游地的优势在于	水陆交通通达性好，旅游地吸引半径大,y,,,,,该 地区 成为 著名 旅游地 的 优势 在于 水陆 交通 通达性 好 ， 旅游地 吸引半径 大,该 地区 成为 著名 旅游地 的 优势 在于 水陆 交通 通达性 好 ， 旅游地 吸引半径 大,DT NN VV JJ NN DEG NN VV NN NN NN VA PU NN NN JJ,,实体信息陈述_0（该地区成为著名旅游地，优势，水陆交通通达性好）实体信息陈述_1（该地区成为著名旅游地，优势，旅游地吸引半径大）,实体信息陈述_0（该地区成为著名旅游地，优势，水陆交通通达性好）实体信息陈述_1（该地区成为著名旅游地，优势，旅游地吸引半径大）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 水陆 交通 通达性 好 ， 旅游 地 吸引 半径 大,该 地区 成为 著名 旅游 地 的 优势 在于 水陆 交通 通达性 好 ， 旅游 地 吸引 半径 大,DT NN VV JJ NN NN DEG NN VV NN NN NN VA PU NN VV NN JJ,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (IP (NP (NN 水陆) (NN 交通) (NN 通达性)) (VP (VA 好))) (PU ，) (IP (NP (NN 旅游地) (NN 吸引半径)) (VP (ADJP (JJ 大)))))))) )
10-D-0,该地区成为著名旅游地的优势在于	水陆交通通达性好,ed-ori,,,,,该 地区 成为 著名 旅游地 的 优势 在于 水陆 交通 通达性 好,该 地区 成为 著名 旅游地 的 优势 在于 水陆 交通 通达性 好,DT NN VV JJ NN DEG NN VV NN NN NN VA,,实体信息陈述_0（该地区成为著名旅游地，优势，水陆交通通达性好）,实体信息陈述_0（该地区成为著名旅游地，优势，水陆交通通达性好）,,,实体信息陈述,实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 水陆 交通 通达性 好,该 地区 成为 著名 旅游 地 的 优势 在于 水陆 交通 通达性 好,DT NN VV JJ NN NN DEG NN VV NN NN NN VA,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (NP (NN 水陆) (NN 交通) (NN 通达性)) (VP (VA 好)))))) )
10-D-1,该地区成为著名旅游地的优势在于	旅游地吸引半径大,ed-ori,,,,,该 地区 成为 著名 旅游地 的 优势 在于 旅游地 吸引半径 大,该 地区 成为 著名 旅游地 的 优势 在于 旅游地 吸引半径 大,DT NN VV JJ NN DEG NN VV NN NN VA,,实体信息陈述_0（该地区成为著名旅游地，优势，旅游地吸引半径大）,实体信息陈述_0（该地区成为著名旅游地，优势，旅游地吸引半径大）,,,实体信息陈述,实体信息陈述,,,该 地区 成为 著名 旅游 地 的 优势 在于 旅游 地 吸引 半径 大,该 地区 成为 著名 旅游 地 的 优势 在于 旅游 地 吸引 半径 大,DT NN VV JJ NN NN DEG NN VV NN VV NN JJ,( (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (VP (VV 成为) (NP (DNP (NP (ADJP (JJ 著名)) (NP (NN 旅游地))) (DEG 的)) (NP (NN 优势)))) (VP (VV 在于) (IP (NP (NN 旅游地) (NN 吸引半径)) (VP (VA 大)))))) )
11-A,与图示地区农业地域类型相同的地区是	西欧平原,None,,8,3,,与 图示 地区 农业地域类型 相同 的 地区 是 西欧平原,与 图示 地区 农业 地域 类型 相同 的 地区 是 西欧 平原,P VV NN term VA DEC NN VC loc,,比较_0（图是地区，西欧平原，农业地域类型，相同）,比较_0（图是地区，西欧平原，农业地域类型，相同）,0_0-4,0_0-4,比较,比较,,,与 图示 地区 农业地域类型 相同 的 地区 是 西欧 平原,与 图示 地区 农业地域类型 相同 的 地区 是 西欧平原,P NN NN term VA DEC NN VC loc,( (IP (NP (CP (IP (VP (PP (P 与) (IP (VP (VV 图示) (NP (NN 地区) (NN 农业地域类型))))) (VP (VA 相同)))) (DEC 的)) (NP (NN 地区))) (VP (VC 是) (NP (NR 西欧平原)))) )
11-B,与图示地区农业地域类型相同的地区是	湄公河三角洲,None,,8,3,,与 图示 地区 农业地域类型 相同 的 地区 是 湄公河三角洲,与 图示 地区 农业 地域 类型 相同 的 地区 是 湄公河 三角洲,P VV NN term VA DEC NN VC loc,,比较_0（图是地区，湄公河三角洲，农业地域类型，相同）,比较_0（图是地区，湄公河三角洲，农业地域类型，相同）,0_0-4,0_0-4,比较,比较,,,与 图示 地区 农业地域类型 相同 的 地区 是 湄公河 三角 洲,与 图示 地区 农业地域类型 相同 的 地区 是 湄公河 三角 洲,P NN NN term VA DEC NN VC loc,( (IP (NP (CP (IP (VP (PP (P 与) (IP (VP (VV 图示) (NP (NN 地区) (NN 农业地域类型))))) (VP (VA 相同)))) (DEC 的)) (NP (NN 地区))) (VP (VC 是) (NP (NR 湄公河三角洲)))) )
11-C,与图示地区农业地域类型相同的地区是	五大湖沿岸,None,,8,3,,与 图示 地区 农业地域类型 相同 的 地区 是 五大湖沿岸,与 图示 地区 农业 地域 类型 相同 的 地区 是 五大湖 沿岸,P VV NN term VA DEC NN VC loc,,比较_0（图是地区，五大湖沿岸，农业地域类型，相同）,比较_0（图是地区，五大湖沿岸，农业地域类型，相同）,0_0-4,0_0-4,比较,比较,,,与 图示 地区 农业地域类型 相同 的 地区 是 五 大湖 沿岸,与 图示 地区 农业地域类型 相同 的 地区 是 五大湖 沿岸,P NN NN term VA DEC NN VC loc,( (IP (NP (CP (IP (VP (PP (P 与) (IP (VP (VV 图示) (NP (NN 地区) (NN 农业地域类型))))) (VP (VA 相同)))) (DEC 的)) (NP (NN 地区))) (VP (VC 是) (NP (NR 五大湖沿岸)))) )
11-D,与图示地区农业地域类型相同的地区是	墨累-达令盆地,None,,8,3,,与 图示 地区 农业地域类型 相同 的 地区 是 墨累-达令盆地,与 图示 地区 农业 地域 类型 相同 的 地区 是 墨累 - 达令 盆地,P VV NN term VA DEC NN VC loc,,比较_0（图是地区，墨累-达令盆地，农业地域类型，相同）,比较_0（图是地区，墨累-达令盆地，农业地域类型，相同）,0_0-4,0_0-4,比较,比较,,,与 图示 地区 农业地域类型 相同 的 地区 是 墨累-达令盆地,与 图示 地区 农业地域类型 相同 的 地区 是 墨累-达令盆地,P NN NN term VA DEC NN VC loc,( (IP (NP (CP (IP (VP (PP (P 与) (IP (VP (VV 图示) (NP (NN 地区) (NN 农业地域类型))))) (VP (VA 相同)))) (DEC 的)) (NP (NN 地区))) (VP (VC 是) (NP (NR 墨累-达令盆地)))) )
